model,mode,form,difficulty,count,main_metric,count_within1_acc,segment_f1@0.5,mean_best_tIoU,bbox_acc@50iou,self_temporal_loc_f1@0.5,self_temporal_loc_mean_tIoU
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,env_visibility_reasoning,6+,0,,,,,,,
Qwen/Qwen3.5-27B-Instant,single-landmark,self_composite_instance_recognition,easy,89,0.056179775280898875,,,,,0.16853932584269662,0.2460517835216181
Qwen/Qwen3.5-27B-Instant,single-landmark,self_composite_instance_recognition,medium,463,0.16630669546436286,,,,,0.23110151187904968,0.2308609616905461
Qwen/Qwen3.5-27B-Instant,single-landmark,self_composite_instance_recognition,hard,9,0.0,,,,,0.1111111111111111,0.19767441860465118
Qwen/Qwen3.5-27B-Instant,single-landmark,self_composite_instance_recognition,1,0,,,,,,,
Qwen/Qwen3.5-27B-Instant,single-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
Qwen/Qwen3.5-27B-Instant,single-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
Qwen/Qwen3.5-27B-Instant,single-landmark,self_composite_instance_recognition,6+,0,,,,,,,
Qwen/Qwen3.5-27B-Instant,single-landmark,self_atomic_instance_recognition,easy,463,0.363158907683425,,,,,0.8324758795190107,0.772764322324579
Qwen/Qwen3.5-27B-Instant,single-landmark,self_atomic_instance_recognition,medium,549,0.21505768063145111,,,,,0.3075512443761061,0.2880355485607419
Qwen/Qwen3.5-27B-Instant,single-landmark,self_atomic_instance_recognition,hard,12,0.041666666666666664,,,,,0.35714285714285715,0.2765395184233302
Qwen/Qwen3.5-27B-Instant,single-landmark,self_atomic_instance_recognition,1,0,,,,,,,
Qwen/Qwen3.5-27B-Instant,single-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
Qwen/Qwen3.5-27B-Instant,single-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
Qwen/Qwen3.5-27B-Instant,single-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
Qwen/Qwen3.5-27B-Instant,single-landmark,env_visibility_reasoning,easy,463,0.6479481641468683,0.9827213822894169,0.5289998282122474,0.5646947542637065,,,
