model,view_definition,task_type,difficulty,count,option_accuracy,bbox_acc@50iou,bbox_mean_iou
qwen3.5-plus-Instant,Self-Aware,self_what,8way,512,0.28125,0.158203125,0.2546914654749859
qwen3.5-plus-Instant,Environment-Aware,env_where,4way,512,0.490234375,0.09375,0.1783342023291436
qwen3.5-plus-Instant,Environment-Aware,env_where,8way,512,0.4609375,0.099609375,0.20799719842793002
qwen3.5-plus-Instant,Environment-Aware,env_how,4way,512,0.462890625,0.087890625,0.18743942730306717
qwen3.5-plus-Instant,Environment-Aware,env_how,8way,512,0.515625,0.078125,0.212734213922923
qwen3.6-plus-Instant,Self-Aware,self_where,4way,512,0.310546875,0.12890625,0.25414122258817945
qwen3.6-plus-Instant,Self-Aware,self_where,8way,512,0.345703125,0.203125,0.28772554604826056
qwen3.6-plus-Instant,Self-Aware,self_what,4way,512,0.345703125,0.1328125,0.25545805806703664
qwen3.6-plus-Instant,Self-Aware,self_what,8way,512,0.32421875,0.146484375,0.27841546316790416
qwen3.6-plus-Instant,Environment-Aware,env_where,4way,512,0.5,0.0703125,0.1793751057748373
qwen3.6-plus-Instant,Environment-Aware,env_where,8way,512,0.46875,0.078125,0.19998213170348378
qwen3.6-plus-Instant,Environment-Aware,env_how,4way,512,0.404296875,0.060546875,0.18480806354982376
qwen3.6-plus-Instant,Environment-Aware,env_how,8way,512,0.4453125,0.05859375,0.2124587595185
x-ai/grok-4.1-fast-Instant,Self-Aware,self_where,4way,512,0.18359375,0.03515625,0.15277224619867147
x-ai/grok-4.1-fast-Instant,Self-Aware,self_where,8way,512,0.23828125,0.037109375,0.1747525433351591
x-ai/grok-4.1-fast-Instant,Self-Aware,self_what,4way,512,0.20703125,0.0234375,0.16520760382249816
x-ai/grok-4.1-fast-Instant,Self-Aware,self_what,8way,512,0.251953125,0.021484375,0.18380794816713664
x-ai/grok-4.1-fast-Instant,Environment-Aware,env_where,4way,512,0.345703125,0.017578125,0.07417112019189223
x-ai/grok-4.1-fast-Instant,Environment-Aware,env_where,8way,512,0.314453125,0.01953125,0.0888860161668174
x-ai/grok-4.1-fast-Instant,Environment-Aware,env_how,4way,512,0.318359375,0.009765625,0.07025328089759902
x-ai/grok-4.1-fast-Instant,Environment-Aware,env_how,8way,512,0.333984375,0.021484375,0.07998499747881486
xiaomi/mimo-v2-omni-Instant,Self-Aware,self_where,4way,512,0.3046875,0.34765625,0.3257247300489512
xiaomi/mimo-v2-omni-Instant,Self-Aware,self_where,8way,512,0.26953125,0.412109375,0.36107295127425226
xiaomi/mimo-v2-omni-Instant,Self-Aware,self_what,4way,512,0.21875,0.265625,0.2839609312426698
xiaomi/mimo-v2-omni-Instant,Self-Aware,self_what,8way,512,0.20703125,0.330078125,0.3108192967016111
xiaomi/mimo-v2-omni-Instant,Environment-Aware,env_where,4way,512,0.341796875,0.08203125,0.1690229440303622
xiaomi/mimo-v2-omni-Instant,Environment-Aware,env_where,8way,512,0.388671875,0.09375,0.1796540907940944
xiaomi/mimo-v2-omni-Instant,Environment-Aware,env_how,4way,512,0.318359375,0.068359375,0.15225352811890702
xiaomi/mimo-v2-omni-Instant,Environment-Aware,env_how,8way,512,0.4453125,0.115234375,0.19367994557054982
z-ai/glm-4.6v-Instant,Self-Aware,self_where,4way,512,0.31640625,0.078125,0.07934865662379206
z-ai/glm-4.6v-Instant,Self-Aware,self_where,8way,512,0.298828125,0.109375,0.09488009299094623
z-ai/glm-4.6v-Instant,Self-Aware,self_what,4way,512,0.240234375,0.080078125,0.08414939896686822
z-ai/glm-4.6v-Instant,Self-Aware,self_what,8way,512,0.30078125,0.091796875,0.08980933629065391
z-ai/glm-4.6v-Instant,Environment-Aware,env_where,4way,512,0.37890625,0.03515625,0.06734531169673086
z-ai/glm-4.6v-Instant,Environment-Aware,env_where,8way,512,0.205078125,0.03125,0.0667471587865853
